locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
1140166,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,7,18MFF-0016,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Sodas: Chips: Candy,6014982.07,2100806.303,37.74925586,-122.3909754,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0016&ExportPDF=1&Filename=18MFF-0016_schedule.pdf,Mo-Fr:9AM-5PM,,,4/6/2018,1,7/15/2019 0:00,"(37.7492558595291, -122.390975379577)"
1184866,Subs on Hubs,Truck,0,,Assessors Block 8711/Lot021,8711021,8711,21,18MFF-0059,APPROVED,Italian subs: Cuban sandwich: Gyro,6014914.894,2108873.147,37.77140195,-122.3917716,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0059&ExportPDF=1&Filename=18MFF-0059_schedule.pdf,Sa-Su:11AM-10PM;Mo-Fr:6PM-8PM,,7/11/2018 0:00,7/11/2018,0,7/15/2019 0:00,"(37.7714019465879, -122.391771646847)"
1184108,D & T Catering,Truck,3184000,BROADWAY: BRODERICK ST to BAKER ST (2800 - 2899),2840 BROADWAY,958004,958,4,18MFF-0057,APPROVED,Cold Truck: Pre-packaged sandwiches: Chicken Bake: Canned Soup: Chili Dog: Corn Dog: Cup of Noodles: Egg Muffins: Hamburgers: Cheeseburgers: Hot Dog: Hot sandwiches: quesadillas: Beverages: Flan: Fruits: Yogurt: Candy: Cookies: Chips: Donuts: Snacks,6000020.336,2117205.164,37.79344143,-122.4438912,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,Mo-Fr:10AM-11AM,,7/11/2018 0:00,7/11/2018,1,7/15/2019 0:00,"(37.7934414335598, -122.443891213784)"
1184827,Liang Bai Ping,Truck,11782000,SHAFTER AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1127 SHAFTER AVE,4793017,4793,17,18MFF-0058,APPROVED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017324.545,2092269.627,37.72594556,-122.3822812,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,Mo-Fr:8AM-9AM,,7/11/2018 0:00,7/11/2018,1,7/15/2019 0:00,"(37.7259455580465, -122.382281153253)"
1183761,Mini Mobile Food Catering,Truck,8958000,MENDELL ST: GALVEZ AVE to HUDSON AVE (600 - 699),620 MENDELL ST,5254002,5254,2,18MFF-0053,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6016250.092,2097183.501,37.73937867,-122.3863379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0053&ExportPDF=1&Filename=18MFF-0053_schedule.pdf,Sa:11AM-2PM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7393786694373, -122.386337945153)"
1199773,Two G's Catering,Truck,12665000,TOWNSEND ST: 06TH ST to 07TH ST (500 - 599),516 TOWNSEND ST,3784007,3784,7,18MFF-0090,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,6012412.751,2109668,37.77344521,-122.4004826,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0090&ExportPDF=1&Filename=18MFF-0090_schedule.pdf,Mo-Fr:8AM-9AM,,8/6/2018 0:00,8/6/2018,1,7/15/2019 0:00,"(37.7734452149215, -122.400482576546)"
1181881,Quan Catering,Truck,51657000,ALANA WAY: COUNTY LINE intersection,151 EXECUTIVE PARK BLVD,4991089,4991,89,18MFF-0049,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0049&ExportPDF=1&Filename=18MFF-0049_schedule.pdf,Mo-Fr:9AM-10AM/11AM-12PM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(0, 0)"
1122750,Got Snacks,Push Cart,184001,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL (1000 - 1099),1020 03RD ST,8714002,8714,2,18MFF-0011,APPROVED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,6015168.306,2110364.21,37.77551014,-122.3909993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0011&ExportPDF=1&Filename=18MFF-0011_schedule.pdf,Mo-Su:10AM-9PM,,7/2/2018 0:00,3/13/2018,1,7/15/2019 0:00,"(37.7755101380495, -122.390999306002)"
1181882,Quan Catering,Truck,15086000,,3305 03RD ST,4502A002,4502A,2,18MFF-0049,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6018751.714,2098754.754,37.74383117,-122.3777974,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0049&ExportPDF=1&Filename=18MFF-0049_schedule.pdf,Mo-Fr:7AM-8AM/10AM-12PM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7438311721327, -122.377797368962)"
1181513,John's Catering #5,Truck,3309000,BRYANT ST: 19TH ST to 20TH ST (2100 - 2199),2157 BRYANT ST,4080065,4080,65,18MFF-0045,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),6009684.39,2104752.654,37.75979627,-122.4095734,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,Mo-Fr:12PM-1PM,,7/6/2018 0:00,7/6/2018,1,7/15/2019 0:00,"(37.7597962717227, -122.409573421624)"
1183678,Paradise Catering,Truck,9100000,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1023 MISSION ST,3726110,3726,110,18MFF-0052,APPROVED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,6009985.168,2112183.292,37.78021594,-122.4090575,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,Mo-Fr:9AM-10AM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7802159385025, -122.409057485501)"
1181743,BH & MT LLC,Truck,1232000,23RD ST: END to ILLINOIS ST (100 - 699),401 23RD ST,4232010,4232,10,18MFF-0047,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,6016887.317,2102871.037,37.75503073,-122.3845307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0047&ExportPDF=1&Filename=18MFF-0047_schedule.pdf,Mo-Fr:11AM-12PM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7550307267667, -122.384530734223)"
1183759,Mini Mobile Food Catering,Truck,414000,08TH ST: HERON ST to HARRISON ST (350 - 399),350 08TH ST,3756003,3756,3,18MFF-0053,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6009763.073,2109812.608,37.77369415,-122.4096584,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0053&ExportPDF=1&Filename=18MFF-0053_schedule.pdf,Mo-Fr:10AM-11AM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7736941524749, -122.409658441356)"
1193825,Eva's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,18MFF-0086,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,6013220.459,2100301.58,37.74777209,-122.3970317,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0086&ExportPDF=1&Filename=18MFF-0086_schedule.pdf,Su:10AM-2PM,,7/26/2018 0:00,7/26/2018,1,7/15/2019 0:00,"(37.7477720916075, -122.397031718978)"
1181890,Park's Catering,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,18MFF-0050,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6014340.249,2099120.438,37.7445912,-122.3930769,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,Mo-Fr:7AM-8AM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7445911950917, -122.393076880858)"
934628,May Catering,Truck,8715000,MARIPOSA ST: 04TH ST \ MINNESOTA ST to INDIANA ST (700 - 799),777 MARIPOSA ST,3997004,3997,4,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015005.349,2106106.834,37.76381128,-122.3912654,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,Mo-Fr:9AM-10AM,,12/28/2017 0:00,2/13/2017,1,7/15/2018 0:00,"(37.7638112772906, -122.391265350599)"
1184084,F & C Catering,Truck,10336000,PENNSYLVANIA AVE: 22ND ST to 23RD ST (700 - 899),898 PENNSYLVANIA AVE,4167003,4167,3,18MFF-0055,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6014175.628,2103109.247,37.75553447,-122.3939253,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0055&ExportPDF=1&Filename=18MFF-0055_schedule.pdf,Mo/Tu/We/Th:10AM-11AM,,7/11/2018 0:00,7/11/2018,1,7/15/2019 0:00,"(37.7555344716039, -122.393925277539)"
1189520,Linda's Catering,Truck,142000,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,3774067,3774,67,18MFF-0074,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,6014675.196,2113164.273,37.7831711,-122.392901,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0074&ExportPDF=1&Filename=18MFF-0074_schedule.pdf,Mo-Fr:10AM-12PM,,7/13/2018 0:00,7/13/2018,1,7/15/2019 0:00,"(37.7831711043434, -122.392901049479)"
1181830,Anas Goodies Catering,Truck,7195000,INDIANA ST: 20TH ST to 22ND ST (800 - 999),998 INDIANA ST,4105011,4105,11,18MFF-0048,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014845.363,2104007.25,37.75803739,-122.3916719,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,Mo-Fr:8AM-9AM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7580373934881, -122.391671890682)"
1183674,Paradise Catering,Truck,185104,03RD ST: MISSION BAY BLVD to WARRIORS WAY (1401 - 1599) -- EAST --,1455 03RD ST,8720012,8720,12,18MFF-0052,APPROVED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,6015658.771,2108751.771,37.77110994,-122.38919,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,Mo-Fr:8AM-9AM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7711099394372, -122.389190040328)"
1183688,Paradise Catering,Truck,9101000,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1119 MISSION ST,3727130,3727,130,18MFF-0052,APPROVED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,6009345.932,2111626.582,37.77865151,-122.4112296,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,Mo-Fr:10AM-11AM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7786515145076, -122.411229567525)"
1123284,"Expresso Subito, LLC.",Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),150 CALIFORNIA ST,236019,236,19,18MFF-0013,APPROVED,Expresso drinks: assorted beverages (canned: bottled: home made): scones: croissants: bagels: soup: chili: parfaits: smoothies: frappes: milk shakes.,6013145.603,2117020.157,37.79367338,-122.3984635,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0013&ExportPDF=1&Filename=18MFF-0013_schedule.pdf,Tu/Th:6AM-8PM,,9/13/2018 0:00,3/15/2018,0,7/15/2019 0:00,"(37.7936733815047, -122.398463509486)"
1183679,Paradise Catering,Truck,6713000,HARRISON ST: ESSEX ST \ I-80 E ON RAMP to 02ND ST (550 - 599),575 HARRISON ST,3764198,3764,198,18MFF-0052,APPROVED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,6014256.906,2113627.76,37.78442049,-122.3943806,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,Mo-Fr:9AM-10AM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7844204919929, -122.394380639101)"
1181829,Anas Goodies Catering,Truck,12484000,TENNESSEE ST: 19TH ST to 20TH ST (800 - 899),815 TENNESSEE ST,4059001B,4059,001B,18MFF-0048,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015563.023,2105254.616,37.7615022,-122.389277,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,Mo-Fr:8AM-9AM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7615022039664, -122.389276996081)"
934626,May Catering,Truck,0,,Assessors Block /Lot,,,,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,Mo/Mo/Mo/Mo/Mo:9AM-10AM/10AM-11AM/12PM-1PM/1PM-2PM,,12/28/2017 0:00,2/13/2017,1,7/15/2018 0:00,"(0, 0)"
1163792,"SOHOMEI, LLC",Truck,12583000,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to END (1 - 99),1 THOMAS MORE WAY,7380027,7380,27,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,5991430.027,2086996.775,37.71000333,-122.4714119,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM,,,5/21/2018,1,7/15/2019 0:00,"(37.7100033342894, -122.471411913129)"
1186247,Kettle Corn Star,Push Cart,8747103,MARKET ST: POWELL ST to 05TH ST \ CYRIL MAGNIN ST (865 - 899) -- SOUTH --,865 MARKET ST,3705 042,3705,42,18MFF-0064,APPROVED,Kettle Corn: Funnel Cakes: Waffles: Lemonade,6010561.591,2113530.347,37.78394691,-122.4071583,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0064&ExportPDF=1&Filename=18MFF-0064_schedule.pdf,Mo-Su:10AM-6PM,,7/12/2018 0:00,7/12/2018,0,7/15/2019 0:00,"(37.7839469079742, -122.407158344984)"
1200175,"Off the Grid Services, LLC",Truck,2953000,BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,3803005,3803,5,18MFF-0092,APPROVED,everything except for hot dogs,6014943.869,2110666.298,37.77632715,-122.3917968,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0092&ExportPDF=1&Filename=18MFF-0092_schedule.pdf,Sa:11AM-4PM;Th:4PM-8PM,,8/7/2018 0:00,8/6/2018,0,7/15/2019 0:00,"(37.7763271477899, -122.391796821077)"
1183754,Mini Mobile Food Catering,Truck,6710000,HARRISON ST: BEALE ST to FREMONT ST \ I-80 W OFF RAMP (300 - 399),355 FREMONT ST,3747 320,3747,320,18MFF-0053,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014901.462,2114671.59,37.78732242,-122.3922237,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0053&ExportPDF=1&Filename=18MFF-0053_schedule.pdf,Mo-Fr:9AM-10AM/11AM-12PM,,7/10/2018 0:00,7/10/2018,1,7/15/2019 0:00,"(37.7873224193199, -122.392223706383)"
1090091,Tacos El Primo,Truck,7480000,JENNINGS ST: WALLACE AVE to YOSEMITE AVE (2200 - 2299),1495 WALLACE AVE,4831003,4831,3,18MFF-0006,REQUESTED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea,6015319.326,2092304.552,37.7259305,-122.3892156,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0006&ExportPDF=1&Filename=18MFF-0006_schedule.pdf,Tu/Sa:8AM-3PM;Mo/Tu/We/Th/Fr:10AM-2PM,,,2/5/2018,1,7/15/2019 0:00,"(37.7259304950399, -122.389215559421)"
1181853,Anas Goodies Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,1,18MFF-0048,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,Mo-Fr:11AM-12PM,,7/9/2018 0:00,7/9/2018,1,7/15/2019 0:00,"(37.7484453388377, -122.38687903198)"
